index,r,g,b,soundFreq,octave,note,noteClass,audioClass
431,0,23,60,1077.62,6,0,C,lowTreble,
432,0,38,100,1141.1,6,1,C#,lowTreble,
433,0,54,140,1210.22,6,2,D,lowTreble,
434,0,69,180,1281.51,6,3,D#,lowTreble,
435,0,84,220,1357.0,6,4,E,lowTreble,
436,5,101,255,1436.4,6,5,F,lowTreble,
437,45,125,255,1523.3,6,6,F#,lowTreble,
438,85,150,255,1613.88,6,7,G,lowTreble,
439,125,175,255,1710.61,6,8,G#,lowTreble,
440,165,200,255,1813.14,6,8,G#,lowTreble,
441,205,224,255,1920.1,6,10,A#,lowTreble,
442,10,0,17,2038.23,7,11,B,midTreble,
443,30,0,52,2156.36,7,0,C,midTreble,
444,50,0,86,2283.39,7,1,C#,midTreble,
445,70,0,120,2419.16,7,2,D,midTreble,
446,90,0,155,2565.74,7,3,D#,midTreble,
447,110,0,189,2716.84,7,4,E,midTreble,
448,130,0,223,2876.9,7,5,F,midTreble,
449,150,3,255,3056.59,7,6,F#,midTreble,
450,164,37,255,3231.1,7,7,G,midTreble,
451,178,71,255,3419.2,7,8,G#,midTreble,
452,193,106,255,3629.02,7,8,G#,midTreble,
453,207,140,255,3842.42,7,10,A#,midTreble,
454,10,0,14,4078.93,7,11,B,midTreble,
455,31,0,43,4315.44,8,0,C,highTreble,
456,51,0,71,4566.78,8,1,C#,highTreble,
457,71,0,99,4835.46,8,2,D,highTreble,
458,92,0,128,5129.02,8,3,D#,highTreble,
459,112,0,156,5430.83,8,4,E,highTreble,
460,132,0,185,5753.78,8,5,F,highTreble,
461,152,0,213,6088.59,8,6,F#,highTreble,
462,173,0,242,6462.21,8,7,G,highTreble,
463,187,15,255,6842.44,8,8,G#,highTreble,
464,195,43,255,7243.65,8,9,A,highTreble,
465,203,71,255,7668.06,8,10,A#,highTreble,
466,97,0,0,22.48,0,5,F,lowBass,
467,255,0,0,44.95,1,5,F,midBass,
468,255,136,0,89.91,2,5,F,highBass,
469,255,238,0,179.81,3,5,F,lowMidrange,
470,111,255,0,359.61,4,5,F,midMidrange,
471,0,191,255,719.23,5,5,F,highMidrange,
472,0,98,255,1438.23,6,5,F,lowTreble,
473,128,0,219,2876.9,7,5,F,midTreble,
474,130,0,181,5753.78,8,5,F,highTreble,
475,97,0,0,22.48,0,5,F,lowBass,
476,255,0,0,44.95,1,5,F,midBass,
477,255,137,0,89.8,2,5,F,highBass,
478,255,239,0,179.7,3,5,F,lowMidrange,
479,112,255,0,359.5,4,5,F,midMidrange,
480,0,192,255,719.12,5,5,F,highMidrange,
481,0,97,255,1438.34,6,5,F,lowTreble,
482,126,0,219,2877.12,7,5,F,midTreble,
483,131,0,181,5753.67,8,5,F,highTreble,
484,15,0,0,16.35,0,0,C,lowBass,
485,31,0,0,17.32,0,1,C#,lowBass,
486,45,0,0,18.35,0,2,D,lowBass,
487,61,0,0,19.45,0,3,D#,lowBass,
488,76,0,0,20.6,0,4,E,lowBass,
489,91,0,0,21.83,0,5,F,lowBass,
490,107,0,0,23.12,0,6,F#,lowBass,
491,121,0,0,24.5,0,7,G,lowBass,
492,137,0,0,25.96,0,8,G#,lowBass,
493,152,0,0,27.5,0,9,A,lowBass,
494,167,0,0,29.14,0,10,A#,lowBass,
495,183,0,0,30.87,0,11,B,lowBass,
496,40,0,0,32.7,1,0,C,midBass,
497,80,0,0,34.65,1,1,C#,midBass,
498,120,0,0,36.71,1,2,D,midBass,
499,160,0,0,38.89,1,3,D#,midBass,
500,200,0,0,41.2,1,4,E,midBass,
501,240,0,0,43.65,1,5,F,midBass,
502,255,25,25,46.25,1,6,F#,midBass,
503,255,65,65,49.0,1,7,G,midBass,
504,255,105,105,55.91,1,8,G#,midBass,
505,255,145,145,55.0,1,7,G,midBass,
506,255,185,185,58.27,1,10,A#,midBass,
507,255,225,225,61.74,1,11,B,midBass,
508,40,21,0,65.41,2,0,C,highBass,
509,80,43,0,69.3,2,1,C#,highBass,
510,120,64,0,73.42,2,2,D,highBass,
511,160,85,0,77.78,2,3,D#,highBass,
512,200,107,0,82.41,2,4,E,highBass,
513,240,128,0,87.31,2,5,F,highBass,
514,255,148,25,92.5,2,6,F#,highBass,
515,255,166,65,98.0,2,7,G,highBass,
516,255,185,105,103.83,2,8,G#,highBass,
517,255,204,145,110.0,2,8,G#,highBass,
518,255,222,185,116.54,2,10,A#,highBass,
519,255,241,225,123.47,2,10,A#,highBass,
520,40,37,0,130.81,3,0,C,lowMidrange,
521,80,75,0,138.59,3,1,C#,lowMidrange,
522,120,112,0,146.83,3,2,D,lowMidrange,
523,160,150,0,155.56,3,3,D#,lowMidrange,
524,200,187,0,164.81,3,4,E,lowMidrange,
525,240,224,0,174.61,3,5,F,lowMidrange,
526,255,240,25,185.0,3,6,F#,lowMidrange,
527,255,242,65,196.0,3,7,G,lowMidrange,
528,255,245,105,207.65,3,8,G#,lowMidrange,
529,255,248,145,220.0,3,8,G#,lowMidrange,
530,255,250,185,233.08,3,10,A#,lowMidrange,
531,255,253,225,246.94,3,11,B,lowMidrange,
532,17,40,0,261.63,4,0,C,midMidrange,
533,35,80,0,277.18,4,1,C#,midMidrange,
534,52,120,0,293.66,4,2,D,midMidrange,
535,69,160,0,311.13,4,3,D#,midMidrange,
536,87,200,0,329.63,4,4,E,midMidrange,
537,104,240,0,349.23,4,5,F,midMidrange,
538,125,255,25,369.99,4,6,F#,midMidrange,
539,147,255,65,392.0,4,7,G,midMidrange,
540,170,255,105,415.3,4,8,G#,midMidrange,
541,193,255,145,440.0,4,8,G#,midMidrange,
542,215,255,185,466.16,4,9,A,midMidrange,
543,238,255,225,493.88,4,10,A#,midMidrange,
544,0,30,40,523.25,5,0,C,highMidrange,
545,0,60,80,554.37,5,1,C#,highMidrange,
546,0,90,120,587.33,5,2,D,highMidrange,
547,0,120,160,622.25,5,3,D#,highMidrange,
548,0,150,200,659.25,5,4,E,highMidrange,
549,0,180,240,698.46,5,5,F,highMidrange,
550,25,197,255,739.99,5,6,F#,highMidrange,
551,65,207,255,783.99,5,7,G,highMidrange,
552,105,217,255,830.61,5,8,G#,highMidrange,
553,145,227,255,880.0,5,8,G#,highMidrange,
554,185,238,255,932.33,5,10,A#,highMidrange,
555,225,247,255,987.77,5,11,B,highMidrange,
